id	mittente	destinatario	luogo_mittente
1	Manzoni, Alessandro	Pagani, Giovan Battista	Milano
2	Manzoni, Alessandro	Monti, Vincenzo	Lecco
3	Manzoni, Alessandro	Mustoxidi, Andrea	Venezia
4	Manzoni, Alessandro	Monti, Vincenzo	Venezia
5	Manzoni, Alessandro	Pagani, Giovan Battista	Venezia
6	Manzoni, Alessandro	Crotti, Giuseppe	Cremona
7	Manzoni, Alessandro	Monti, Vincenzo	Lecco
8	Manzoni, Alessandro	Pagani, Giovan Battista	Milano
9	Manzoni, Alessandro	Mustoxidi, Andrea	Milano
11	Manzoni, Alessandro	Fauriel, Claude	Parigi
12	Manzoni, Alessandro	Pagani, Giovan Battista	Parigi
13	Manzoni, Alessandro	Pagani, Giovan Battista	Parigi
14	Manzoni, Alessandro	Pagani, Giovan Battista	Parigi
16	Manzoni, Alessandro	Arese Lucini, Luigi	Parigi
17	Manzoni, Alessandro	Calderari, Ignazio	Parigi
18	Manzoni, Alessandro	Pagani, Giovan Battista	Parigi
19	Manzoni, Alessandro	Calderari, Ignazio	Parigi
20	Manzoni, Alessandro	Fauriel, Claude	Suze
22	Manzoni, Alessandro	Pagani, Giovan Battista	Brusuglio
25	Manzoni, Alessandro	Fauriel, Claude	Torino
26	Manzoni, Alessandro	Fauriel, Claude	Torino
27	Manzoni, Alessandro	Fauriel, Claude	Parigi
28	Manzoni, Alessandro	Fauriel, Claude	Parigi
29	Manzoni, Alessandro	Pagani, Giovan Battista	Parigi
30	Manzoni, Alessandro	Fauriel, Claude	Parigi
31	Manzoni, Alessandro	Fauriel, Claude	Parigi
32	Manzoni, Alessandro	Bossi, Giuseppe	Parigi
33	Manzoni, Alessandro	Monti, Vincenzo	Parigi
34	Manzoni, Alessandro	Calderari, Ignazio	Parigi
35	Manzoni, Alessandro	Fauriel, Claude	Parigi
36	Manzoni, Alessandro	Fauriel, Claude	Parigi
37	Manzoni, Alessandro	Fauriel, Claude	Suze
39	Manzoni, Alessandro	Fauriel, Claude	Brusuglio
40	Manzoni, Alessandro	Fauriel, Claude	Milano
41	Manzoni, Alessandro	Fauriel, Claude	Milano
42	Manzoni, Alessandro	Fauriel, Claude	Belvedere sur le lac Como
43	Manzoni, Alessandro	Fauriel, Claude	Milano
44	Manzoni, Alessandro	Fauriel, Claude	Milano
45	Manzoni, Alessandro	Pagani, Giovan Battista	Parigi
46	Manzoni, Alessandro	Fauriel, Claude	Parigi
47	Manzoni, Alessandro	Fauriel, Claude	Parigi
48	Manzoni, Alessandro	Blondel, Charles François	Parigi
49	Manzoni, Alessandro	Fauriel, Claude	Parigi
50	Manzoni, Alessandro	Fauriel, Claude	Parigi
51	Manzoni, Alessandro	Fauriel, Claude	Parigi
52	Manzoni, Alessandro	Fauriel, Claude	Parigi
53	Manzoni, Alessandro	Fauriel, Claude	Parigi
54	Manzoni, Alessandro	Monti, Vincenzo	Parigi
55	Manzoni, Alessandro	Fauriel, Claude	Parigi
56	Manzoni, Alessandro	Fauriel, Claude	Parigi
57	Manzoni, Alessandro	Fauriel, Claude	Parigi
58	Manzoni, Alessandro	Mustoxidi, Andrea	Meulan
59	Manzoni, Alessandro	Fauriel, Claude	Parigi
60	Manzoni, Alessandro	Mustoxidi, Andrea	Meulan
