Item,Frequency
",",710224904
il,510100138
di,496826617
.,464277486
e,352470372
la,336336720
essere,335465918
del,266161871
che,224434469
in,193171777
a,177451498
per,171851957
della,147669215
un,144424940
"""",143355573
avere,131369873
al,126612392
una,117763977
non,107386580
con,105403084
da,102742015
si,91542833
nel,86937428
:,79886180
),79250845
(,74629824
alla,66952140
questo,62882074
dal,54567064
potere,51158649
fare,50824973
più,50662730
come,50522693
anche,46930751
ma,46619144
o,39817478
nella,39365725
'',38738657
tutto,36602366
-,36596864
se,33675198
sul,30813957
ad,29844299
...,29307801
!,29097741
ed,28349095
dalla,27940958
?,27683462
;,26910362
anno,26499692
quello,25972497
dovere,25528265
2,25361664
altro,25294632
cui,23152756
su,23115229
primo,22525086
ci,22213758
tra,21749036
molto,21664908
solo,21155729
venire,20881140
dire,20766327
mi,20261160
sulla,19009889
nuovo,18844299
parte,18298462
grande,16956902
andare,16655484
loro,16567775
volere,16095479
sua,15759455
–,15590258
sempre,15357321
dopo,14910927
stesso,14633615
uno,14622151
suo,14543072
ora,14502400
tempo,14259199
perché,14075601
quando,14020536
cosa,13884990
poi,13860512
trovare,13804087
stare,13641110
secondo,13264410
lo,13210664
3,13078865
ogni,12996404
senza,12756345
dare,12728079
giorno,12461011
così,12197521
volta,11984979
proprio,11716430
ancora,11672448
sapere,11594873
vedere,11480302
quanto,11309146
alcun,11059800
caso,10966466
modo,10873221
quindi,10617012
vita,10496864
dove,10303316
tanto,10283540
chi,10176129
io,10175289
già,10082753
c'',9957821
persona,9921839
italiano,9844466
via,9739250
lavoro,9731642
mettere,9574624
diverso,9547751
/,9498035
poco,9493861
ne,9463667
punto,9340774
ultimo,9228155
italia,9196300
servizio,9155213
quale,9128614
casa,8839479
mondo,8838644
oggi,8610207
piccolo,8606425
prendere,8403740
1,8314332
4,8201610
pubblico,8164571
portare,8062073
%,8038197
fino,7975625
oltre,7898420
fine,7741199
bene,7738254
pensare,7678200
parlare,7674920
ti,7630217
attività,7535578
grazie,7467313
tutti,7454185
vi,7415208
mai,7376379
noi,7346031
possibile,7305379
5,7255405
sistema,7159184
tale,7149940
buono,7125742
storia,7087055
città,7053426
mentre,7034479
comune,7019607
arrivare,6996273
momento,6894535
qui,6872780
progetto,6859679
interno,6823811
prima,6823116
problema,6807677
importante,6752091
invece,6732404
qualche,6653919
quella,6639463
utilizzare,6606383
prodotto,6592961
però,6581033
nostro,6540005
centro,6534917
scrivere,6501031
vero,6445588
rendere,6424557
cercare,6337427
alto,6299700
mio,6294811
meno,6283370
corso,6245062
particolare,6224495
],6183476
riuscire,6175296
gruppo,6145708
[,6135076
quali,6126143
mese,6117486
me,6112316
presentare,6097211
suoi,6094537
infatti,6081239
lungo,6078449
presente,6063448
tenere,6041674
usare,6014236
paese,5972510
lasciare,5967321
verso,5967010
sito,5925410
chiedere,5875332
bello,5867318
sembrare,5830357
base,5819399
10,5796301
politico,5792875
diventare,5766166
euro,5744947
certo,5744503
rispetto,5692518
contro,5659846
ciò,5637489
unico,5632971
mia,5632047
durante,5625900
livello,5606341
fatto,5606118
legge,5553128
esempio,5548709
nazionale,5531681
trattare,5500085
ricerca,5497041
passare,5494888
lui,5459865
attraverso,5445489
sotto,5443431
numero,5413810
nostra,5406484
circa,5393263
piano,5372916
sentire,5329263
tipo,5320589
vivere,5284898
soprattutto,5266808
creare,5250096
studio,5222103
leggere,5210816
donna,5209323
presidente,5168096
seguire,5127406
realizzare,5120973
conoscere,5106331
scuola,5088647
informazione,5049057
famiglia,5038651
ricordare,5020412
opera,5019824
offrire,5018089
forma,5011690
presso,4995920
diritto,4922517
posto,4922131
dato,4919712
de,4899602
insieme,4893681
n,4871126
bambino,4869313
necessario,4864226
permettere,4849944
quasi,4844088
vario,4824128
nome,4812544
rimanere,4810994
acqua,4796793
inoltre,4794310
azienda,4788412
sociale,4778897
continuare,4773825
società,4768090
giovane,4758696
roma,4738727
ben,4735572
capire,4732092
area,4683495
credere,4675004
parola,4669619
fra,4656660
spesso,4619352
stato,4613870
sue,4603442
luogo,4600072
senso,4579571
comunque,4565158
meglio,4549281
territorio,4505195
esperienza,4488872
quelli,4468556
zona,4466023
l,4463157
nascere,4454714
forse,4450323
termine,4448394
po,4443842
iniziare,4424106
locale,4411640
consiglio,4405902
uomo,4396497
europeo,4380985
san,4379175
mano,4357066
generale,4355465
risultato,4355248
libro,4344069
chiamare,4295466
campo,4280925
personale,4267446
ottenere,4252408
articolo,4246514
aprire,4232875
serie,4231226
tuo,4224492
mezzo,4203305
allora,4203157
programma,4203001
valore,4195778
strada,4171399
qualità,4170123
grado,4167498
intervento,4131440
forza,4108708
periodo,4103999
settore,4101108
regione,4100997
troppo,4099113
considerare,4098601
dedicare,4089276
gioco,4078625
rapporto,4031237
economico,4028318
effetto,4012309
scegliere,4010819
massimo,3992678
mercato,3990910
uso,3950609
rappresentare,3938450
evento,3928130
svolgere,3910353
situazione,3908513
idea,3896117
struttura,3889463
realtà,3886802
gli,3878809
possibilità,3865324
spazio,3855627
no,3833655
governo,3830704
lavorare,3826767
perdere,3818425
raggiungere,3815298
piacere,3811736
titolo,3808715
tornare,3801001
storico,3791333
condizione,3788817
li,3785168
chiesa,3778331
prezzo,3775385
8,3774398
vista,3767268
riguardare,3762465
terra,3759701
tecnico,3745176
film,3743711
forte,3739620
6,3705253
semplice,3666599
associazione,3666357
decidere,3662056
principale,3656361
sviluppo,3655089
azione,3647678
proporre,3622541
partire,3618670
perchè,3616656
internazionale,3616409
scelta,3616145
immagine,3603989
consentire,3603201
aggiungere,3592570
amico,3572044
relativo,3560486
nostri,3541366
entrare,3539775
incontro,3529960
provare,3529327
lei,3528472
comprendere,3528277
previsto,3516917
tema,3500974
figlio,3497884
regionale,3496759
linea,3494783
settimana,3474025
servire,3467514
fuori,3458962
modello,3451705
cambiare,3450753
cittadino,3438109
almeno,3429850
prossimo,3414901
corpo,3413622
colore,3396994
processo,3389592
presenza,3389317
ambiente,3389201
umano,3377082
sicurezza,3376210
terzo,3369806
fa,3358974
milano,3350845
strumento,3333731
domanda,3330304
percorso,3329557
30,3327174
occasione,3321486
